DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,0,0.062,1
86,0,0,0.14,1
87,1,0,0.27,1
88,1,0,0.439,1
89,1,0,0.604,2
90,2,0,0.839,3
91,7,0,1.151,3
92,3,0,1.518,4
93,1,0,1.972,5
94,4,0,2.57,7
95,5,1,3.285,8
96,5,1,4.144,10
97,1,1,5.169,12
98,7,1,6.347,14
99,9,2,7.721,16
100,0,2,9.269,19
101,10,3,10.985,22
102,2,4,12.907,24
103,1,5,14.979,27
104,0,6,17.174,29.025
105,12,8,19.462,32
106,2,9,21.795,34
107,7,11,24.117,35.025
108,14,13,26.374,37
109,14,15,28.592,39
110,2,18,30.557,40
111,0,20,32.368,41
112,29,23,33.99,42
113,34,25,35.204,42
114,21,27,35.958,42
115,12,30,36.575,42
116,4,31,36.806,42
117,6,30,36.676,42
118,9,29,36.294,41
119,13,27.975,35.641,41
120,21,26,34.816,41
121,10,24,33.734,40
122,18,23,32.547,39
123,N/A,21,31.226,39
124,N/A,19,29.845,38.025
125,N/A,17.975,28.388,37.025
126,N/A,16,26.885,36
127,N/A,14.975,25.41,35
128,N/A,13,23.922,34
129,N/A,12,22.485,33
130,N/A,11,21.053,31
131,N/A,10,19.698,30
132,N/A,9,18.374,29
133,N/A,8,17.154,27
134,N/A,7,15.96,26
135,N/A,6,14.841,25
136,N/A,5,13.794,23
137,N/A,5,12.805,22
138,N/A,4,11.86,21
139,N/A,4,10.98,20
140,N/A,3,10.199,19
141,N/A,3,9.443,18
142,N/A,3,8.766,17
143,N/A,2,8.119,16
144,N/A,2,7.511,15
145,N/A,2,6.974,14
146,N/A,1,6.467,13
147,N/A,1,5.99,12
148,N/A,1,5.585,12
149,N/A,1,5.187,11
150,N/A,1,4.798,10
151,N/A,1,4.476,10
152,N/A,1,4.148,9
153,N/A,1,3.858,9
154,N/A,0,3.57,8
155,N/A,0,3.315,8
156,N/A,0,3.045,7
157,N/A,0,2.835,7
158,N/A,0,2.597,6
159,N/A,0,2.385,6
160,N/A,0,2.189,6
161,N/A,0,2.019,5
162,N/A,0,1.857,5
163,N/A,0,1.714,5
164,N/A,0,1.579,4
165,N/A,0,1.478,4
166,N/A,0,1.378,4
167,N/A,0,1.282,4
168,N/A,0,1.2,3
169,N/A,0,1.116,3
170,N/A,0,1.049,3
171,N/A,0,0.976,3
172,N/A,0,0.919,3
173,N/A,0,0.854,2
174,N/A,0,0.778,2
175,N/A,0,0.711,2
176,N/A,0,0.648,2
177,N/A,0,0.606,2
178,N/A,0,0.56,2
179,N/A,0,0.542,2
180,N/A,0,0.529,2
181,N/A,0,0.507,1
182,N/A,0,0.495,1
183,N/A,0,0.473,1
184,N/A,0,0.461,1
185,N/A,0,0.441,1
186,N/A,0,0.395,1
187,N/A,0,0.354,1
188,N/A,0,0.305,1
189,N/A,0,0.252,1
190,N/A,0,0.196,1
191,N/A,0,0.156,1
192,N/A,0,0.108,1
193,N/A,0,0.078,1
194,N/A,0,0.054,1
195,N/A,0,0.037,1
196,N/A,0,0.023,0
197,N/A,0,0.014,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
